DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,0046340
COLOR,#9F5691
COLOR_BRANCHES,0
STRIP_WIDTH,25
DATA
bfd_035500,#9F5691
bfd_082404,#9F5691
bfd_008333,#9F5691
bfd_010234,#9F5691
bfd_158169,#9F5691
bfd_005880,#9F5691
bfd_017719,#9F5691
bfd_073935,#9F5691
bfd_010296,#9F5691
bfd_076349,#9F5691
bfd_204880,#9F5691
bfd_011685,#9F5691
bfd_012683,#9F5691
bfd_049114,#9F5691
bfd_040283,#9F5691
bfd_014157,#9F5691
bfd_032448,#9F5691
bfd_056518,#9F5691
bfd_024929,#9F5691
bfd_085327,#9F5691
bfd_027246,#9F5691
bfd_168170,#9F5691
bfd_004471,#9F5691
bfd_162103,#9F5691
bfd_190282,#9F5691
bfd_135713,#9F5691
bfd_216964,#9F5691
bfd_006821,#9F5691
bfd_032949,#9F5691
bfd_141308,#9F5691
bfd_087543,#9F5691
bfd_024501,#9F5691
bfd_066852,#9F5691
bfd_052618,#9F5691
bfd_006029,#9F5691
bfd_005309,#9F5691
bfd_014324,#9F5691
bfd_022568,#9F5691
bfd_122223,#9F5691
bfd_010751,#9F5691
bfd_074909,#9F5691
bfd_000638,#9F5691
bfd_067296,#9F5691
bfd_008503,#9F5691
bfd_015731,#9F5691
bfd_138602,#9F5691
bfd_159755,#9F5691
bfd_000716,#9F5691
bfd_067012,#9F5691
bfd_016509,#9F5691
bfd_003798,#9F5691
bfd_005732,#9F5691
bfd_004756,#9F5691
bfd_013793,#9F5691
bfd_006130,#9F5691
bfd_028251,#9F5691
bfd_001000,#9F5691
bfd_177183,#9F5691
bfd_209311,#9F5691
bfd_020097,#9F5691
bfd_070693,#9F5691
bfd_089450,#9F5691
bfd_082019,#9F5691
bfd_003291,#9F5691
bfd_216439,#9F5691
bfd_014958,#9F5691
bfd_050012,#9F5691
bfd_010967,#9F5691
bfd_008059,#9F5691
bfd_002927,#9F5691
bfd_007062,#9F5691
bfd_066848,#9F5691
bfd_043386,#9F5691
bfd_061876,#9F5691
bfd_215764,#9F5691
bfd_047690,#9F5691
bfd_071917,#9F5691
bfd_014938,#9F5691
bfd_000951,#9F5691
bfd_000949,#9F5691
bfd_005431,#9F5691
bfd_017748,#9F5691
bfd_104440,#9F5691
bfd_012686,#9F5691
bfd_038032,#9F5691
bfd_050714,#9F5691
bfd_156647,#9F5691
bfd_017830,#9F5691
bfd_024508,#9F5691
bfd_052316,#9F5691
bfd_054940,#9F5691
bfd_056473,#9F5691
bfd_001952,#9F5691
bfd_141534,#9F5691
bfd_004930,#9F5691
bfd_122010,#9F5691
bfd_066799,#9F5691
bfd_067453,#9F5691
bfd_008803,#9F5691
bfd_055430,#9F5691
bfd_026839,#9F5691
bfd_268302,#9F5691
bfd_030631,#9F5691
bfd_014013,#9F5691
bfd_170733,#9F5691
bfd_005720,#9F5691
bfd_026316,#9F5691
bfd_013358,#9F5691
bfd_085099,#9F5691
bfd_167409,#9F5691
bfd_136212,#9F5691
bfd_015887,#9F5691
bfd_007095,#9F5691
bfd_049096,#9F5691
bfd_078762,#9F5691
bfd_005614,#9F5691
bfd_051879,#9F5691
bfd_015993,#9F5691
bfd_003413,#9F5691
bfd_055198,#9F5691
bfd_102435,#9F5691
bfd_002027,#9F5691
bfd_007535,#9F5691
bfd_003931,#9F5691
bfd_010504,#9F5691
bfd_152081,#9F5691
bfd_001351,#9F5691
bfd_003176,#9F5691
bfd_227232,#9F5691
bfd_001464,#9F5691
bfd_082089,#9F5691
bfd_029345,#9F5691
bfd_019130,#9F5691
bfd_011988,#9F5691
bfd_018866,#9F5691
bfd_027188,#9F5691
bfd_064558,#9F5691
bfd_017644,#9F5691
bfd_022381,#9F5691
bfd_030420,#9F5691
bfd_039131,#9F5691
bfd_050069,#9F5691
bfd_133328,#9F5691
bfd_004874,#9F5691
bfd_163895,#9F5691
bfd_007663,#9F5691
bfd_012077,#9F5691
bfd_085818,#9F5691
bfd_028201,#9F5691
bfd_011989,#9F5691
bfd_104866,#9F5691
bfd_141606,#9F5691
bfd_176225,#9F5691
bfd_146654,#9F5691
bfd_032504,#9F5691
bfd_001279,#9F5691
bfd_013093,#9F5691
bfd_163944,#9F5691
bfd_165991,#9F5691
bfd_031944,#9F5691
bfd_018852,#9F5691
bfd_000434,#9F5691
bfd_085630,#9F5691
bfd_172036,#9F5691
bfd_174457,#9F5691
bfd_048580,#9F5691
bfd_033290,#9F5691
bfd_216966,#9F5691
bfd_194381,#9F5691
bfd_127443,#9F5691
bfd_008612,#9F5691
bfd_085584,#9F5691
bfd_005169,#9F5691
bfd_133578,#9F5691
bfd_010816,#9F5691
bfd_212696,#9F5691
bfd_068989,#9F5691
bfd_128681,#9F5691
bfd_061071,#9F5691
bfd_212974,#9F5691
bfd_040053,#9F5691
bfd_129036,#9F5691
bfd_007634,#9F5691
bfd_014017,#9F5691
bfd_016480,#9F5691
bfd_057367,#9F5691
bfd_006559,#9F5691
bfd_020747,#9F5691
bfd_203913,#9F5691
bfd_001498,#9F5691
bfd_035222,#9F5691
