DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,0048261
COLOR,#831818
COLOR_BRANCHES,0
STRIP_WIDTH,25
DATA
bfd_035500,#831818
bfd_082404,#831818
bfd_008333,#831818
bfd_010234,#831818
bfd_005880,#831818
bfd_017719,#831818
bfd_010296,#831818
bfd_204880,#831818
bfd_011685,#831818
bfd_012683,#831818
bfd_014157,#831818
bfd_032448,#831818
bfd_056518,#831818
bfd_024929,#831818
bfd_085327,#831818
bfd_033260,#831818
bfd_004471,#831818
bfd_162103,#831818
bfd_216964,#831818
bfd_006821,#831818
bfd_032949,#831818
bfd_141308,#831818
bfd_087543,#831818
bfd_014688,#831818
bfd_006029,#831818
bfd_080852,#831818
bfd_005309,#831818
bfd_014324,#831818
bfd_022568,#831818
bfd_031620,#831818
bfd_074909,#831818
bfd_000638,#831818
bfd_019794,#831818
bfd_067296,#831818
bfd_008503,#831818
bfd_015731,#831818
bfd_159755,#831818
bfd_000716,#831818
bfd_016509,#831818
bfd_003798,#831818
bfd_005732,#831818
bfd_004756,#831818
bfd_013793,#831818
bfd_006130,#831818
bfd_060199,#831818
bfd_028251,#831818
bfd_177183,#831818
bfd_209311,#831818
bfd_020097,#831818
bfd_003291,#831818
bfd_014958,#831818
bfd_010967,#831818
bfd_009248,#831818
bfd_002927,#831818
bfd_007062,#831818
bfd_061876,#831818
bfd_047690,#831818
bfd_014938,#831818
bfd_000951,#831818
bfd_000949,#831818
bfd_005431,#831818
bfd_084025,#831818
bfd_012686,#831818
bfd_050714,#831818
bfd_156647,#831818
bfd_024508,#831818
bfd_141534,#831818
bfd_066799,#831818
bfd_008803,#831818
bfd_055430,#831818
bfd_268302,#831818
bfd_014013,#831818
bfd_170733,#831818
bfd_005720,#831818
bfd_026316,#831818
bfd_013358,#831818
bfd_085099,#831818
bfd_167409,#831818
bfd_136212,#831818
bfd_015887,#831818
bfd_007095,#831818
bfd_049096,#831818
bfd_078762,#831818
bfd_005614,#831818
bfd_051879,#831818
bfd_015993,#831818
bfd_003413,#831818
bfd_055198,#831818
bfd_102435,#831818
bfd_007535,#831818
bfd_003931,#831818
bfd_010504,#831818
bfd_001351,#831818
bfd_003176,#831818
bfd_001464,#831818
bfd_082089,#831818
bfd_011988,#831818
bfd_018866,#831818
bfd_027188,#831818
bfd_017644,#831818
bfd_022381,#831818
bfd_030420,#831818
bfd_050069,#831818
bfd_133328,#831818
bfd_004874,#831818
bfd_163895,#831818
bfd_012077,#831818
bfd_080735,#831818
bfd_060833,#831818
bfd_141606,#831818
bfd_146654,#831818
bfd_032504,#831818
bfd_001279,#831818
bfd_013093,#831818
bfd_163944,#831818
bfd_012997,#831818
bfd_104253,#831818
bfd_031944,#831818
bfd_018852,#831818
bfd_000434,#831818
bfd_031831,#831818
bfd_085630,#831818
bfd_174457,#831818
bfd_048580,#831818
bfd_033290,#831818
bfd_194381,#831818
bfd_127443,#831818
bfd_008612,#831818
bfd_085584,#831818
bfd_005169,#831818
bfd_050136,#831818
bfd_010816,#831818
bfd_068989,#831818
bfd_128681,#831818
bfd_061071,#831818
bfd_212974,#831818
bfd_040053,#831818
bfd_014017,#831818
bfd_016480,#831818
bfd_006559,#831818
bfd_020747,#831818
bfd_129787,#831818
bfd_012178,#831818
bfd_055242,#831818
bfd_002492,#831818
bfd_085100,#831818
bfd_048767,#831818
bfd_061944,#831818
bfd_008039,#831818
bfd_000155,#831818
bfd_046800,#831818
bfd_141999,#831818
bfd_142212,#831818
bfd_138246,#831818
bfd_136216,#831818
bfd_003898,#831818
bfd_040043,#831818
bfd_067365,#831818
bfd_007618,#831818
bfd_043382,#831818
bfd_047575,#831818
bfd_043174,#831818
bfd_012837,#831818
bfd_005988,#831818
bfd_035135,#831818
bfd_065485,#831818
bfd_047913,#831818
bfd_010508,#831818
bfd_008883,#831818
bfd_057459,#831818
bfd_010270,#831818
bfd_050695,#831818
bfd_247450,#831818
bfd_000940,#831818
bfd_047370,#831818
bfd_022561,#831818
bfd_126980,#831818
bfd_093225,#831818
bfd_077237,#831818
bfd_010204,#831818
bfd_014284,#831818
bfd_052878,#831818
bfd_050458,#831818
bfd_001757,#831818
bfd_005558,#831818
bfd_062748,#831818
bfd_005743,#831818
bfd_017114,#831818
bfd_159696,#831818
bfd_167151,#831818
bfd_067363,#831818
bfd_089638,#831818
bfd_134209,#831818
bfd_213793,#831818
bfd_004839,#831818
bfd_035076,#831818
bfd_023062,#831818
bfd_003377,#831818
bfd_012081,#831818
bfd_004443,#831818
bfd_013407,#831818
bfd_002464,#831818
bfd_000527,#831818
bfd_089619,#831818
bfd_040702,#831818
bfd_047583,#831818
